lds_id	  line 	drop 	sch 	lineinfo	system_key	sch_seq 	glo_seq		count	freeway	Dir	ca_pm	lds_name
1205270	5	19	1	1	1123005673	26492	1357648		16	405	N	0.93	IRVINE C1               
1208933	6	15	2	2	1123005691	26491	1357639		16	405	N	1.11	IRVINE C2               
1203081	6	17	2	2	1123005691	26491	1357639		16	405	N	2.35	LAGUNA CANYON RD        
1203083	6	18	2	2	1123005691	26491	1357639		16	405	N	2.99	SAND CANYON             
1210174	6	19	2	2	1123005691	26491	1357639		19	405	N	3.31	VICTORIA2               
1210163	6	20	2	2	1123005691	26491	1357639		16	405	N	3.86	N OF SAND CANYON        
1204875	22	1	4	4	1123005726	26490	1357624		20	405	N	4.03	JEFFREY 1               
1204847	22	2	4	4	1123005726	26490	1357624		19	405	N	5.55	FAIR 2                  
1204832	22	3	4	4	1123005726	26490	1357624		20	405	N	5.74	JEFFREY 2               
1204973	22	4	4	4	1123005726	26490	1357624		19	405	N	6.85	BRISTOL                 
1205003	22	5	4	4	1123005726	26490	1357624		19	405	N	7.07	PAULARINO 1             
1204958	22	6	4	4	1123005726	26490	1357624		20	405	N	7.73	CULVER 1                
1204988	22	7	4	4	1123005726	26490	1357624		20	405	N	8.27	CULVER 2                
1204928	22	8	4	4	1123005726	26490	1357624		19	405	N	9.46	PAULARINO 2             
1205077	22	9	4	4	1123005726	26490	1357624		20	405	N	9.65	JAMBOREE1               
1205229	22	10	4	4	1123005726	26490	1357624		19	405	N	10.9	MACARTHU1               
1205176	22	11	4	4	1123005726	26490	1357624		20	405	N	11.4	JAMBOREE2               
1205188	22	12	4	4	1123005726	26490	1357624		19	405	N	11.6	MACARTHU2               
1205219	22	13	4	4	1123005726	26490	1357624		20	405	S	0.6	MACARTHUR 1             
1205238	22	16	4	4	1123005726	26490	1357624		19	405	S	0.77	DYER 1                  
1205208	22	17	4	4	1123005726	26490	1357624		19	405	S	0.96	DYER 2                  
1204912	22	18	4	4	1123005726	26490	1357624		3	405	S	1.57	AIRPORT                 
1204892	22	19	4	4	1123005726	26490	1357624		20	405	S	1.73	BARRANCA1               
1205094	22	20	4	4	1123005726	26490	1357624		20	405	S	1.93	BARRANCA2               
1205156	23	1	23	21	1123005995	26479	1357626		17	405	S	2.88	S OF 5                  
1205164	23	2	23	21	1123005995	26479	1357626		19	405	S	3.84	EDINGER 2               
1205167	23	3	23	21	1123005995	26479	1357626		18	405	S	4.03	BRISTOL 1               
1205172	23	4	23	21	1123005995	26479	1357626		18	405	S	5.01	BRISTOL 2               
1205197	23	5	23	21	1123005995	26479	1357626		17	405	S	5.05	N OF 5                  
1205254	23	6	23	21	1123005995	26479	1357626		19	405	S	5.5	MCFADDEN                
1205268	23	7	23	21	1123005995	26479	1357626		17	405	S	5.69	MARINE WAY              
1209845	23	11	23	21	1123005995	26479	1357626		18	405	S	6.1	N OF 5 OFF              
1203261	23	14	23	21	1123005995	26479	1357626		17	405	S	6.8	N OF MARINE             
1203270	23	15	23	21	1123005995	26479	1357626		17	405	S	7.01	S OF PM 11              
1209052	26	13	25	25	1123006044	26482	1357604		18	405	S	7.69	FAIRVIEW                
1201409	27	1	26	26	1123006050	26481	1357603		17	405	S	8.4	AT PM 11                
1201405	27	2	26	26	1123006050	26481	1357603		20	405	S	8.9	FOURTH 2                
1208924	29	2	28	28	1123006080	26480	1357609		17	405	S	9.54	N OF PM 11              
1208925	29	3	28	28	1123006080	26480	1357609		18	405	S	10.28	HARBOR 1                
1208926	29	4	28	28	1123006080	26480	1357609		18	405	S	10.48	HARBOR 2                
1210382	29	5	28	28	1123006080	26480	1357609		20	405	S	11.2	17TH 1                  
1208927	29	6	28	28	1123006080	26480	1357609		20	405	S	11.5	17TH 2                  
1201475	31	1	5	5	1123005744	26489	1357649		17	405	S	12.16	IRVINE BLVD 3           
1201444	31	2	5	5	1123005744	26489	1357649		17	133	N	9	S OF PORTOLA            
1201459	31	3	5	5	1123005744	26489	1357649		17	133	N	9.1	N OF PORTOLA            
